,game_id,red_win,total_moves
215,pwkqJG,1.0,217
216,2mgkj3,1.0,61
217,mNrrnM,1.0,74
218,qREjRb,1.0,131
219,j6e2z1,0.5,71
220,noplPV,0.0,40
221,6ogd4K,0.0,50
222,BNVN9r,0.0,102
223,qR0oWR,1.0,17
224,6opz0y,0.0,70
225,ElkzAb,1.0,43
226,1o9VRX,0.0,60
227,noB3gd,0.0,142
228,oOkgPy,0.0,48
229,lR0lo9,0.5,72
230,6ogjnK,1.0,25
231,g2Qo9N,1.0,85
232,2mWkkW,0.0,238
233,QELZJY,1.0,79
234,ROqXol,1.0,117
235,noybmK,0.0,96
236,e3NL6J,0.5,123
237,ZOL1GY,0.0,196
238,LwnXg4,1.0,45
239,oOvV6X,0.5,178
240,WwG009,0.5,54
241,2mr2P5,0.0,4
242,j6wzB9,1.0,63
243,e3wJ53,1.0,51
244,rROQRb,1.0,37
245,4aA9pZ,1.0,81
246,BNr2Wr,0.5,101
247,e3zd6L,0.5,69
248,3gm6AO,1.0,125
249,4amrZ9,1.0,105
250,anOYmY,1.0,53
251,qR0QBQ,0.0,36
252,KNZnAM,1.0,45
253,Lw1nwb,0.0,25
254,WwZWOZ,0.0,116
255,yMQB0A,1.0,64
256,lRPqyO,0.5,107
257,9Znvjr,0.5,225
258,lRP51n,0.0,48
259,JKPNM2,0.0,46
260,vRNQ3E,0.0,142
261,9ZozmW,0.5,431
262,qRr3BR,0.5,70
263,LwL2lP,1.0,117
264,LwL20a,0.5,44
265,VO1k0A,0.5,64
266,lRaPdm,0.5,54
267,w5zN4A,0.0,196
268,3g2wJ4,0.5,53
269,WwMyv2,0.5,62
270,OW1z9K,0.0,128
271,lRaXw9,0.5,54
272,XK1vG1,0.5,55
273,BNYmKK,0.5,103
274,lRan6E,1.0,34
275,BNYmOJ,0.0,48
276,YO1Yln,1.0,41
277,GEXpMn,0.5,71
278,WwMkmV,0.5,113
279,anQX0V,1.0,58
280,NR154B,0.5,83
281,anQbNB,0.0,46
282,lRawJ5,0.0,32
283,6o61XE,0.5,57
284,bQG9YB,0.0,64
285,0aP1Z4,0.0,66
286,KN5m4n,1.0,83
287,LwX2n4,0.5,188
288,XK1pJ1,0.5,70
289,3g2n24,0.5,242
290,PN15yM,0.5,64
291,ElXp9V,0.5,60
292,BNYdQl,0.5,72
293,bQaEbB,1.0,73
294,2mZyz3,0.5,138
295,LwrqZP,1.0,37
296,Ak5oWd,0.0,64
297,bQa9e4,1.0,59
298,g2jo11,0.0,54
299,j6q4no,0.0,50
300,OWkn9z,0.0,24
301,2m36vv,0.0,48
302,krAyoR,0.0,40
303,3gL965,0.0,44
304,WwQjrA,1.0,27
305,qRw3B5,0.0,44
306,0aGjwM,0.0,52
307,ROzajN,1.0,83
308,vRA4bl,1.0,47
309,yMAwQJ,1.0,51
310,5oeGZO,1.0,47
311,noNXRl,1.0,39
312,ROzV3Y,0.0,50
313,OWkXNn,0.0,62
314,JKamPM,0.5,46
315,krPYrE,0.0,94
316,mNL0g3,1.0,115
317,QEbW52,1.0,62
318,3gR0m3,0.5,39
319,VOokWo,1.0,67
320,bQbgK3,0.5,155
321,pwB0JX,1.0,46
322,VOowK1,1.0,103
323,qR5BNy,1.0,115
324,0aWO1M,1.0,127
325,BN362r,0.0,50
326,6oZjXJ,0.0,64
327,dPbJrA,1.0,37
328,LwEkab,1.0,41
